"MenuId","MIName","SaleID","itemSaleID","daySold"
3,"Insulin","712c03b4-8288-402e-b52e-6eec719e2caf",114,12/09/2020 17:40:16
3,"Insulin","712c03b4-8288-402e-b52e-6eec719e2caf",116,12/09/2020 17:40:16
3,"Insulin","712c03b4-8288-402e-b52e-6eec719e2caf",118,12/09/2020 17:40:16
4,"Skin Cream","32e50356-0563-45b2-89d6-d5385672839b",117,12/09/2020 18:53:40
4,"Skin Cream","32e50356-0563-45b2-89d6-d5385672839b",119,12/09/2020 18:53:40
4,"Skin Cream","32e50356-0563-45b2-89d6-d5385672839b",121,12/09/2020 18:53:40
3,"Insulin","7edfe3b3-1857-40fe-beec-9d6eba6d08ed",120,12/09/2020 19:52:55
3,"Insulin","7edfe3b3-1857-40fe-beec-9d6eba6d08ed",122,12/09/2020 19:52:55
3,"Insulin","7edfe3b3-1857-40fe-beec-9d6eba6d08ed",124,12/09/2020 19:52:55
3,"Insulin","7edfe3b3-1857-40fe-beec-9d6eba6d08ed",126,12/09/2020 19:52:55
3,"Insulin","7edfe3b3-1857-40fe-beec-9d6eba6d08ed",128,12/09/2020 19:52:55
3,"Insulin","7edfe3b3-1857-40fe-beec-9d6eba6d08ed",130,12/09/2020 19:52:55
4,"Skin Cream","fc710f0d-20c6-4e39-b294-684a06fd67e6",126,13/09/2020 00:16:43
4,"Skin Cream","fc710f0d-20c6-4e39-b294-684a06fd67e6",128,13/09/2020 00:16:43
4,"Skin Cream","fc710f0d-20c6-4e39-b294-684a06fd67e6",130,13/09/2020 00:16:43
3,"Insulin","fc710f0d-20c6-4e39-b294-684a06fd67e6",132,13/09/2020 00:16:43
6,"Diabetes Gummies","30081aa2-5637-48c1-8e5e-62af24e29138",130,13/09/2020 00:18:20
5,"Adalimumab","30081aa2-5637-48c1-8e5e-62af24e29138",132,13/09/2020 00:18:20
5,"Adalimumab","30081aa2-5637-48c1-8e5e-62af24e29138",134,13/09/2020 00:18:20
5,"Adalimumab","30081aa2-5637-48c1-8e5e-62af24e29138",136,13/09/2020 00:18:20
4,"Skin Cream","556b3a2f-455d-459e-b633-f2a05d62a2a3",134,13/09/2020 00:20:03
2,"Cough Medicine","556b3a2f-455d-459e-b633-f2a05d62a2a3",136,13/09/2020 00:20:03
2,"Cough Medicine","556b3a2f-455d-459e-b633-f2a05d62a2a3",138,13/09/2020 00:20:03
2,"Cough Medicine","556b3a2f-455d-459e-b633-f2a05d62a2a3",140,13/09/2020 00:20:03
2,"Cough Medicine","556b3a2f-455d-459e-b633-f2a05d62a2a3",142,13/09/2020 00:20:03
4,"Skin Cream","7cfce727-3c17-4420-b791-32e6ba1563d4",139,13/09/2020 05:02:14
4,"Skin Cream","7cfce727-3c17-4420-b791-32e6ba1563d4",141,13/09/2020 05:02:14
4,"Skin Cream","7cfce727-3c17-4420-b791-32e6ba1563d4",143,13/09/2020 05:02:14
4,"Skin Cream","7cfce727-3c17-4420-b791-32e6ba1563d4",145,13/09/2020 05:02:14
2,"Cough Medicine","7cfce727-3c17-4420-b791-32e6ba1563d4",147,13/09/2020 05:02:14
3,"Insulin","3dd59c36-bf49-4adf-88d7-82698c672292",144,13/09/2020 05:19:56
3,"Insulin","3dd59c36-bf49-4adf-88d7-82698c672292",146,13/09/2020 05:19:56
3,"Insulin","3dd59c36-bf49-4adf-88d7-82698c672292",148,13/09/2020 05:19:56
6,"Diabetes Gummies","3dd59c36-bf49-4adf-88d7-82698c672292",150,13/09/2020 05:19:56
4,"Skin Cream","e640248d-b503-44bc-8f89-340a9727d4f4",148,13/09/2020 05:29:09
4,"Skin Cream","e640248d-b503-44bc-8f89-340a9727d4f4",150,13/09/2020 05:29:09
4,"Skin Cream","e640248d-b503-44bc-8f89-340a9727d4f4",152,13/09/2020 05:29:09
4,"Skin Cream","e640248d-b503-44bc-8f89-340a9727d4f4",154,13/09/2020 05:29:09
2,"Cough Medicine","e640248d-b503-44bc-8f89-340a9727d4f4",156,13/09/2020 05:29:09
2,"Cough Medicine","e640248d-b503-44bc-8f89-340a9727d4f4",158,13/09/2020 05:29:09
2,"Cough Medicine","bb4e1f7f-cc93-449b-919a-67d46c781eba",154,13/09/2020 05:29:47
1,"Paracetamol","bb4e1f7f-cc93-449b-919a-67d46c781eba",156,13/09/2020 05:29:47
1,"Paracetamol","bb4e1f7f-cc93-449b-919a-67d46c781eba",158,13/09/2020 05:29:47
1,"Paracetamol","bb4e1f7f-cc93-449b-919a-67d46c781eba",160,13/09/2020 05:29:47
3,"Insulin","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",158,13/09/2020 05:42:00
3,"Insulin","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",160,13/09/2020 05:42:00
3,"Insulin","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",162,13/09/2020 05:42:00
6,"Diabetes Gummies","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",164,13/09/2020 05:42:00
6,"Diabetes Gummies","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",166,13/09/2020 05:42:00
6,"Diabetes Gummies","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",168,13/09/2020 05:42:00
6,"Diabetes Gummies","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",170,13/09/2020 05:42:00
6,"Diabetes Gummies","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",172,13/09/2020 05:42:00
6,"Diabetes Gummies","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",174,13/09/2020 05:42:00
6,"Diabetes Gummies","e0bab3b5-fa74-48ff-9c36-a5dba94911cb",176,13/09/2020 05:42:00
3,"Insulin","9e2e5844-1ae8-4a6a-82cd-9e95172a7076",168,13/09/2020 05:43:16
3,"Insulin","9e2e5844-1ae8-4a6a-82cd-9e95172a7076",170,13/09/2020 05:43:16
3,"Insulin","9e2e5844-1ae8-4a6a-82cd-9e95172a7076",172,13/09/2020 05:43:16
6,"Diabetes Gummies","9e2e5844-1ae8-4a6a-82cd-9e95172a7076",174,13/09/2020 05:43:16
2,"Cough Medicine","e40e190c-d806-45d2-b39a-cba109d487d4",172,13/09/2020 05:45:38
2,"Cough Medicine","e40e190c-d806-45d2-b39a-cba109d487d4",174,13/09/2020 05:45:38
6,"Diabetes Gummies","e40e190c-d806-45d2-b39a-cba109d487d4",176,13/09/2020 05:45:38
6,"Diabetes Gummies","e40e190c-d806-45d2-b39a-cba109d487d4",178,13/09/2020 05:45:38
6,"Diabetes Gummies","e40e190c-d806-45d2-b39a-cba109d487d4",180,13/09/2020 05:45:38
6,"Diabetes Gummies","e40e190c-d806-45d2-b39a-cba109d487d4",182,13/09/2020 05:45:38
3,"Insulin","de91fc15-bee7-4522-a27d-94b15315e26c",178,13/09/2020 05:46:51
